itemId,itemName,itemUrl,itemLevel,itemParent
400000001328001,康复医学,https://study.163.com/category/400000001328001,3,400000001322002
400000001370002,金融考试,https://study.163.com/category/400000001370002,3,400000001374005
400000001372006,财会考试,https://study.163.com/category/400000001372006,3,400000001374005
400000001367005,CFA,https://study.163.com/category/400000001367005,3,400000001374005
400000001365005,公务员,https://study.163.com/category/civil-servant,3,400000001374004
400000001367004,教师教职,https://study.163.com/category/teacher,3,400000001374004
400000001377002,事业单位,https://study.163.com/category/institution-staff,3,400000001374004
400000001375003,社工等其他公职,https://study.163.com/category/social-worker,3,400000001374004
480000003435002,电子商务师,https://study.163.com/category/480000003435002,3,480000003408002
480000003409005,新媒体运营师,https://study.163.com/category/480000003409005,3,480000003408002
480000003436001,室内设计师考试,https://study.163.com/category/480000003436001,3,480000003435001
480000003411005,人力资源,https://study.163.com/category/480000003411005,3,400000001324003
400000001325002,更多考试,https://study.163.com/category/400000001325002,3,400000001324003
480000003125071,摄影基础,https://study.163.com/category/480000003125071,3,480000003131065
480000003123068,手机摄影摄像,https://study.163.com/category/480000003123068,3,480000003131065
480000003135001,摄影后期,https://study.163.com/category/480000003135001,3,480000003131065
480000003127046,绘画基础,https://study.163.com/category/480000003127045?mid=2068210,3,480000003127045
480000003126054,乐理基础,https://study.163.com/category/480000003132052?mid=2079280,3,480000003132052
480000003120047,行书,https://study.163.com/category/480000003131048?mid=2080364,3,480000003131048
480000003123056,理财基础,https://study.163.com/category/480000003123056,3,480000003129067
480000003123057,保险,https://study.163.com/category/480000003123057,3,480000003129067
480000003128043,基金,https://study.163.com/category/480000003128043,3,480000003129067
480000003131051,股票,https://study.163.com/category/480000003131051,3,480000003129067
480000003134051,更多产品,https://study.163.com/category/480000003134051,3,480000003129067
480000003132054,资产配置,https://study.163.com/category/480000003132054,3,480000003129067
480000003120048,考研,https://study.163.com/category/480000003134049?mid=2079303,3,480000003134049
480000003121049,婚恋心理,https://study.163.com/category/480000003130068?mid=2081403,3,480000003130068
480000003131052,居家生活,https://study.163.com/category/480000003120044?mid=2080391,3,480000003120044
480000003122047,体育运动,https://study.163.com/category/480000003131049?mid=2021,3,480000003131049
480000003125058,家庭教育,https://study.163.com/category/480000003130069?mid=2079315,3,480000003130069
